id,trigger,conditions,script,text,options,notes
#RULESET_NAME FM,,,,,,
,,,,,,
# greetings,,,,,,
greetingFMFriendly,OpenCommLink,"$faction.id == fantasy_manufacturing
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Welcome to the Fantasy Workshop!...There shouldn’t be any problem saying that, right?""
OR
""A future in which humanity lives in harmony with the mystery is on the horizon, and you and I are privileged to be among her first beneficiaries.""
OR
""Hi my friend, please allow me to introduce you to this..."" $personName start to settle on you for what looks like a fun retro shooting game.
OR
""Hello hello hello, this is $personName, what can I do for you?""",,
greetingFMHostileWeaker,OpenCommLink,"$faction.id == fantasy_manufacturing
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""I’m running away this time, daze!, However, don’t you dare think about escaping the next time we meet" $personName isn’t as panicked as you might've thought after all. $personName seems prepared for this.
OR
""So you're the one behind this?"" With a sigh of frustration, $personRank cuts the link.
OR
""I won’t forget this!!""",cutCommLink:Cut off the communication.,
greetingFMHostileWeakerDefiant,OpenCommLink,"$faction.id ==  fantasy_manufacturing
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"""Even if the end result is full of pain no matter what, I will fight until the end!"" Seems like $personRank won’t go down without a fight.
OR
""Miracles only come for the brave!"" A resolute voice coming from $personName",cutCommLink:Cut off the communication.,
greetingFMHostileStronger,OpenCommLink,"$faction.id == fantasy_manufacturing
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""Do you need us notifying your family of you death in advance?""
OR
""And it's game over"" A smug can be seen on $personRank.
OR
""Don’t be afraid, you will have a better life at Gensoukyou in the afterlife"" A sincere wish from $personName
",cutCommLink:Cut off the communication.,
greetingFMNeutral,OpenCommLink,"$faction.id == fantasy_manufacturing
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""What can I do for you, wise one?""
OR
""Don’t worry, we may sound like a giant corporation, but we’re not that big and fancy actually""$personName tries to explain, sensing a tense silence from your side.
OR
""Opening communication link...I see that you’re no ordinary individual""
OR
""Even in the Persean Realm, don’t let yourself bound by common sense.""",,
#END greetings,,,,,,
,,,,,,
# factions,,,,,,
