id,type,text1,text2,text3,text4,notes
,,,,,,
FM_Rotation,SHIP,"幻想工造舰队的某种起点，旋转-级配备了相对于护卫舰来说相当强大的能源系统和武器槽位，并整合了一套基于灵能技术的广域支援战术系统，使其具备了替其他舰船承受伤害的能力，她也因此成为了大型舰队战的常客。

作为结界内外早期技术合作的典范的旋转-级，以当代眼光来看，似乎略显保守: 基于扩展纪元的突袭学说而设计的高机动舰体和能量武器槽位，并简单的将源自结界之内的灵能科技作为战术系统和内置插件安装。但是这种简单的设计却十分的通用可行，在很大程度上弥补了扩展纪元轻型舰船于大规模作战中的不适应。对她的各类测试研究为后续幻想工造独特舰队学说的创立打下了基础。

值得一提的是，尽管其早期型号并未安装无人机系统，但是在结界内侧的一些重要人士推动下，当前的星域中的所有同类舰船均已搭载了被称为毛玉的辅助无人机。于是，在战场之外，各类庆典节日上，也常常能见到她与无人机一同出场，借助其本身优异的大气内机动性能和毛玉华丽的弹幕为观众带来极佳的视觉享受。

旋转-级的船员和指挥官在文艺作品中的形象常常与献身和牺牲精神挂钩，或许是沿用了结界内侧的某些传说与故事。

和其他幻想工造的舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Firefly,SHIP,"围绕着中型通用插槽而构建的多用途护卫舰，配有与常规扩展纪元护卫舰性能相当的能源核心和辅助用的小型武器槽位，由于其结构与维护简单而常用于低烈度作战，但有时也会在大型战场上执行导弹支援与骚扰的任务。相对不错的机动性能和投射主动诱饵程度的能力保障了其生存性能。

历经多次修改的萤火虫-级最初是一个不被看好的项目。立项于幻想工造重新暴露于星域的前夜，为低烈度治安维稳任务而设计的她，是在结界内侧的民间组织强烈要求之下才免于被裁撤的命运的。尽管相对那些得到了幻想工造官方支持的项目来说，该项目的资金与技术支持都相当紧张，但因为某个才华横溢的外界青年设计师和他那来自结界里侧的助手(后来的妻子，据传并非是人类)的原因，这个历经曲折的项目最终完成的相当完美，此后相关题材的文艺作品也层出不穷。

其具体技术细节也证实了以上故事的真实性，将常规的扩展纪元军用护卫舰标准的战斗性能与仅仅和高级民用护卫舰相当的后勤效率结合到一起，并且装备了不那么华丽但是泛用的主动诱饵系统，让这艘船在其本职工作上表现得相当良好。而当需要参与大型战斗时，也能凭借优秀的通用武器槽和灵活的机动对那些小瞧虫子的家伙予以制裁，大规模使用时更是令人印象深刻。

和其他幻想工造的舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Rabbit,SHIP,"作为小型舰队中坚一般的存在，配有相当标准化的武器和能源系统，轻盈快速，火力强大，同时还具有散布轻型空雷场的能力，因此尤其的擅长中小规模战斗。

设计于幻想工造被重新暴露之后，以结界外侧的几种著名护卫舰为参考，作为应急舰船快速设计而成。虽然保留了许多常规护卫舰的特性比如小型导弹武器，但从某种意义上讲，兔子-级真正的启发了当代幻想工造舰队学说。依靠战术系统所提供的灵活打击能力和自身的武装，将护卫舰的持续火力等级提升到了全新的层面，并且在此基础上保留了源自扩展纪元的卓越机动性能和还算靠谱的护盾防护。

面对自那时以来卢德左径不断的袭击时，兔子们始终活跃在最前线。在生产早期，其产能曾一度达到接近民用穿梭机的级别。但是随着舰队多样化方针的展开，当初兔兔们的角色如今正逐渐被越来越专业化的舰船所承包。不过仍然有大量兔子-级进入民用领域或退居二线承担军事教学任务，发挥她们那独特的能力，就如同星域中那些常规护卫舰一样，老兵不死。

和其他幻想工造的舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Parasol,SHIP,"一种昂贵先进的武装货舰，注重单独作战的操控性而安装了相对不那么常规的混合类武器槽位，基础性能也已经达到了军用护卫舰的标准，加上难以获得等因素，其在地下运输界几乎没有市场。

但这种性能过剩的设计仍有其用武之地：对那些买不起大型勘探船的小测绘者们来说，唐伞就是他们的保姆。依靠高度自动化的操作系统，她仅需少量船员即可轻松驾驭。充足的油料与货物空间，为大气内行动而做的空气动力学设计，以及卓越的机动性，让其在行星探索侦察方面具有相当的效率。而合理的武装配置和支援无人机如果使用得当也能轻松的击退在外环没事找事的海盗，可谓是万能的舰船。

正因为其在注重勘探和编故事的民间探索组织的人气，唐伞在流行文艺作品和宣传当中有一个相当可爱的少女形象，尽管似乎融入了很多结界内侧的诸如付丧神等等的传说，但外界对这个虚拟形象的二次创作和热情却有增无减。不过不知为何，通信网络上也盛传着这少女并非虚构一类的都市传说。

和其他幻想工造的舰船一样，似乎受到了一些模因污染。",,,,
,,,,,,
FM_Egret,SHIP,"具有惊人灵活性的高速航母，相当侧重于轰炸打击，自身也拥有一定的远程支援能力，但若是缺少掩护，她的缺少持续压制能力的弱点将暴露无疑。

幻想工造舰队学说中航母打击理论的代表，延续发展了扩展纪元学说的鱼雷打击理论，并将其安置在全新的高机动平台上。尤其的，其先进的的战术系统}孤翼白鹭}和与天邪鬼等先进轰炸机组合时能爆发出惊人的高效率。

不过虽然作为主力打击力量而大量应用，其战术系统也有助于保护飞行员，白鹭在基层的风评与口碑却与想象当中的好评相去甚远，尤其是在那些结界内侧船员占比较多的舰队中，普遍出现了孤翼白鹭会影响运气等等传说。内务部门曾经多次对这些情况进行过批评教育，要求”破除迷信”，但结果上似乎并没有什么用，尽管数据表明该型舰船的人员伤亡率实际上十分优秀。

和其他幻想工造的舰船一样，似乎受到了一些模因污染。",,,,
